case_id,case_type,summary_level,rouge1_f,rouge2_f,rougeL_f
PN-MN-0006,Policing,long,0.2631578947368421,0.039735099337748346,0.1381578947368421
PN-MN-0006,Policing,short,0.2043010752688172,0.043478260869565216,0.1182795698924731
PN-MN-0006,Policing,tiny,0.2058823529411765,0.06060606060606061,0.14705882352941174
PD-TX-0003,Indigent Defense,long,0.4,0.20447284345047922,0.2476190476190476
PD-TX-0003,Indigent Defense,short,0.3333333333333333,0.10714285714285714,0.2807017543859649
PD-TX-0003,Indigent Defense,tiny,0.2222222222222222,0.038461538461538464,0.1851851851851852
CW-IL-0006,Child Welfare,long,0.15478615071283097,0.08775510204081632,0.07739307535641549
CW-IL-0006,Child Welfare,short,0.4318181818181818,0.14942528735632185,0.2613636363636364
CW-IL-0006,Child Welfare,tiny,0.2641509433962264,0.0,0.22641509433962262
IM-DC-0048,Immigration and/or the Border ,long,0.19380888290713322,0.09176788124156544,0.12113055181695827
IM-DC-0048,Immigration and/or the Border ,short,0.2816901408450704,0.02857142857142857,0.1408450704225352
IM-DC-0048,Immigration and/or the Border ,tiny,0.19230769230769232,0.12000000000000001,0.15384615384615385
PC-MO-0012,Prison Conditions,long,0.2244094488188976,0.05928853754940712,0.12598425196850394
PC-MO-0012,Prison Conditions,short,0.4000000000000001,0.06756756756756756,0.16
PC-MO-0012,Prison Conditions,tiny,0.18867924528301885,0.03921568627450981,0.1509433962264151
