task,model,split,accuracy,weighted_precision,weighted_recall,weighted_f1,macro_precision,macro_recall,macro_f1
class_action_sought,TF-IDF + Logistic Regression,validation,0.9271523178807947,0.9279356338855863,0.9271523178807947,0.9274223197644047,0.9167342150170648,0.9229595150465468,0.9197002658931593
class_action_sought,TF-IDF + LinearSVC,validation,0.9403973509933775,0.9403143645873275,0.9403973509933775,0.9403508250440139,0.9343808365547497,0.9330266291405066,0.9336976142850173
class_action_sought,TF-IDF + LinearSVC,test,0.948237885462555,0.9480236377006587,0.948237885462555,0.9480661205349725,0.9429735118845308,0.9371321083788453,0.9399686310917927
case_type,TF-IDF + Logistic Regression,validation,0.940809968847352,0.9454146868477087,0.940809968847352,0.9418607649582285,0.9014870931537599,0.9013532502443793,0.8984337091479948
case_type,TF-IDF + LinearSVC,validation,0.9439252336448598,0.9479496605067071,0.9439252336448598,0.9445019389736639,0.9031204571805239,0.8972833170413814,0.8967433124759534
case_type,TF-IDF + LinearSVC,test,0.9629629629629629,0.964149059665559,0.9629629629629629,0.9629790331299337,0.9368039537578633,0.9379252969075766,0.9360746971277956
